Dia;Nacimientos
12/05/2019;35
13/05/2019;42
14/05/2019;41
15/05/2019;42
16/05/2019;38
17/05/2019;24
18/05/2019;34
19/05/2019;43
20/05/2019;36
21/05/2019;55
22/05/2019;41
23/05/2019;45
24/05/2019;41
25/05/2019;37
26/05/2019;43
27/05/2019;39
28/05/2019;33
29/05/2019;43
30/05/2019;40
31/05/2019;38
01/06/2019;45
02/06/2019;46
03/06/2019;34
04/06/2019;35
05/06/2019;48
06/06/2019;51
07/06/2019;36
08/06/2019;33
09/06/2019;46
10/06/2019;42
11/06/2019;48
12/06/2019;34
13/06/2019;41
14/06/2019;35
15/06/2019;40
16/06/2019;34
17/06/2019;30
18/06/2019;36
19/06/2019;40
20/06/2019;39
21/06/2019;45
22/06/2019;38
23/06/2019;47
24/06/2019;33
25/06/2019;30
26/06/2019;42
27/06/2019;43
28/06/2019;41
29/06/2019;41
30/06/2019;59
01/07/2019;43
02/07/2019;45
03/07/2019;38
04/07/2019;37
05/07/2019;45
06/07/2019;42
07/07/2019;57
08/07/2019;46
09/07/2019;51
10/07/2019;41
11/07/2019;47
12/07/2019;26
13/07/2019;35
14/07/2019;44
15/07/2019;41
16/07/2019;42
17/07/2019;36
18/07/2019;45
19/07/2019;45
20/07/2019;45
21/07/2019;47
22/07/2019;38
23/07/2019;42
24/07/2019;35
25/07/2019;36
26/07/2019;39
27/07/2019;45
28/07/2019;43
29/07/2019;47
30/07/2019;36
31/07/2019;41
01/08/2019;50
02/08/2019;39
03/08/2019;41
04/08/2019;46
05/08/2019;64
06/08/2019;45
07/08/2019;34
08/08/2019;38
09/08/2019;44
10/08/2019;48
11/08/2019;46
12/08/2019;44
13/08/2019;37
14/08/2019;39
15/08/2019;44
16/08/2019;45
17/08/2019;33
18/08/2019;44
19/08/2019;38
20/08/2019;46
21/08/2019;42
22/08/2019;36
23/08/2019;35
24/08/2019;40
25/08/2019;44
26/08/2019;46
27/08/2019;37
28/08/2019;38
29/08/2019;47
30/08/2019;37
31/08/2019;40
01/09/2019;34
02/09/2019;56
03/09/2019;36
04/09/2019;38
05/09/2019;47
06/09/2019;40
07/09/2019;41
08/09/2019;32
09/09/2019;53
10/09/2019;40
11/09/2019;38
12/09/2019;49
13/09/2019;38
14/09/2019;30
15/09/2019;36
16/09/2019;52
17/09/2019;40
18/09/2019;44
19/09/2019;47
20/09/2019;35
21/09/2019;48
22/09/2019;46
23/09/2019;53
24/09/2019;48
25/09/2019;40
26/09/2019;39
27/09/2019;36
28/09/2019;43
29/09/2019;47
30/09/2019;52
01/10/2019;45
02/10/2019;50
03/10/2019;52
04/10/2019;43
05/10/2019;44
06/10/2019;43
07/10/2019;42
08/10/2019;45
09/10/2019;50
10/10/2019;44
11/10/2019;40
12/10/2019;39
13/10/2019;54
14/10/2019;41
15/10/2019;42
16/10/2019;51
17/10/2019;49
18/10/2019;45
19/10/2019;43
20/10/2019;42
21/10/2019;38
22/10/2019;47
23/10/2019;38
24/10/2019;36
25/10/2019;42
26/10/2019;35
27/10/2019;28
28/10/2019;44
29/10/2019;36
30/10/2019;45
31/10/2019;46
01/11/2019;48
02/11/2019;49
03/11/2019;43
04/11/2019;42
05/11/2019;59
06/11/2019;45
07/11/2019;52
08/11/2019;46
09/11/2019;42
10/11/2019;40
11/11/2019;40
12/11/2019;45
13/11/2019;35
14/11/2019;35
15/11/2019;40
16/11/2019;39
17/11/2019;33
18/11/2019;42
19/11/2019;47
20/11/2019;51
21/11/2019;44
22/11/2019;40
23/11/2019;57
24/11/2019;49
25/11/2019;45
26/11/2019;49
27/11/2019;51
28/11/2019;46
29/11/2019;44
30/11/2019;52
01/12/2019;45
02/12/2019;32
03/12/2019;46
04/12/2019;41
05/12/2019;34
06/12/2019;33
07/12/2019;36
08/12/2019;49
09/12/2019;43
10/12/2019;43
11/12/2019;34
12/12/2019;39
13/12/2019;35
14/12/2019;52
15/12/2019;47
16/12/2019;52
17/12/2019;39
18/12/2019;40
19/12/2019;42
20/12/2019;42
21/12/2019;53
22/12/2019;39
23/12/2019;40
24/12/2019;38
25/12/2019;44
26/12/2019;34
27/12/2019;37
28/12/2019;52
29/12/2019;48
30/12/2019;55
31/12/2019;50
